case,group,skillscan_user_tokens,skillscan_system_tokens,skillscan_total_input_tokens,cisco_user_tokens,cisco_system_tokens,cisco_total_input_tokens
AP01_evade_g1,G1,427,1010,1437,409,3029,3438
AP01_evade_g2,G2,466,1010,1476,448,3029,3477
AP01_evade_g3,G3,423,1010,1433,405,3029,3434
AP01_evade_g4,G4,497,1010,1507,479,3029,3508
AP01_evade_g5,G5,874,1010,1884,856,3029,3885
AP02_evade_g1,G1,438,1010,1448,420,3029,3449
AP02_evade_g3,G3,483,1010,1493,465,3029,3494
AP02_evade_g5,G5,918,1010,1928,900,3029,3929
AP03_evade_g1,G1,601,1010,1611,583,3029,3612
AP03_evade_g2,G2,615,1010,1625,597,3029,3626
AP03_evade_g3,G3,613,1010,1623,595,3029,3624
AP03_evade_g7,G7,552,1010,1562,534,3029,3563
AP04_evade_g1,G1,544,1010,1554,526,3029,3555
AP04_evade_g2,G2,549,1010,1559,531,3029,3560
AP04_evade_g3,G3,514,1010,1524,496,3029,3525
AP05_evade_g1,G1,720,1010,1730,702,3029,3731
AP05_evade_g2,G2,918,1010,1928,900,3029,3929
AP05_evade_g3,G3,713,1010,1723,695,3029,3724
AP05_evade_g4,G4,844,1010,1854,826,3029,3855
AP05_evade_g5,G5,1394,1010,2404,1376,3029,4405
AP05_evade_g6,G6,968,1010,1978,950,3029,3979
AP05_evade_g7,G7,753,1010,1763,735,3029,3764
AP05_evade_g8,G8,973,1010,1983,955,3029,3984
AP06_evade_g1,G1,432,1010,1442,414,3029,3443
AP06_evade_g2,G2,542,1010,1552,524,3029,3553
AP06_evade_g3,G3,467,1010,1477,449,3029,3478
AP07_evade_g1,G1,862,1010,1872,844,3029,3873
AP07_evade_g2,G2,911,1010,1921,893,3029,3922
AP07_evade_g3,G3,901,1010,1911,883,3029,3912
AP07_evade_g4,G4,1016,1010,2026,998,3029,4027
AP07_evade_g6,G6,651,1010,1661,633,3029,3662
AP07_evade_g7,G7,942,1010,1952,924,3029,3953
AP07_evade_g8,G8,869,1010,1879,851,3029,3880
AP08_evade_g1,G1,1009,1010,2019,991,3029,4020
AP08_evade_g2,G2,1055,1010,2065,1037,3029,4066
AP08_evade_g3,G3,1047,1010,2057,1029,3029,4058
AP08_evade_g5,G5,1414,1010,2424,1396,3029,4425
AP08_evade_g6,G6,772,1010,1782,754,3029,3783
AP08_evade_g7,G7,934,1010,1944,916,3029,3945
AP08_evade_g8,G8,872,1010,1882,854,3029,3883
AP09_evade_g1,G1,784,1010,1794,766,3029,3795
AP09_evade_g2,G2,793,1010,1803,775,3029,3804
AP09_evade_g3,G3,748,1010,1758,730,3029,3759
AP10_evade_g1,G1,983,1010,1993,965,3029,3994
AP10_evade_g3,G3,994,1010,2004,976,3029,4005
AP10_evade_g8,G8,940,1010,1950,922,3029,3951
AP11_evade_g1,G1,886,1010,1896,868,3029,3897
AP11_evade_g3,G3,687,1010,1697,669,3029,3698
AP11_evade_g5,G5,1038,1010,2048,1020,3029,4049
AP11_evade_g6,G6,625,1010,1635,607,3029,3636
AP11_evade_g8,G8,780,1010,1790,762,3029,3791
AP12_evade_g1,G1,529,1010,1539,511,3029,3540
AP12_evade_g3,G3,455,1010,1465,437,3029,3466
