case,Cisco-S,Cisco-F,SF,SS-S,SS-LLM
AP01_a10,D,D,M,D,D
AP01_a12,M,M,M,D,D
AP01_a2,D,D,D,D,D
AP01_a3,M,D,D,D,D
AP01_a5,D,D,D,D,D
AP01_a6,D,D,D,D,D
AP01_a7,D,D,D,D,D
AP01_a8,D,D,D,D,D
AP01_a9,D,D,D,D,D
AP05_a10,D,D,M,D,D
AP05_a12,M,D,M,D,D
AP05_a2,M,D,D,D,D
AP05_a3,M,D,D,D,D
AP05_a5,M,D,D,D,D
AP05_a6,M,M,M,M,M
AP05_a7,M,D,D,D,D
AP05_a8,M,D,D,D,D
AP05_a9,M,D,D,D,D
AP07_a10,D,D,M,D,D
AP07_a12,M,D,M,D,D
AP07_a2,M,D,M,D,D
AP07_a3,M,D,M,D,D
AP07_a5,M,D,M,D,D
AP07_a6,M,D,M,D,D
AP07_a7,M,D,M,D,D
AP07_a8,M,D,M,D,D
AP07_a9,M,D,M,D,D
AP08_a10,D,D,M,D,D
AP08_a12,M,D,M,D,D
AP08_a2,M,D,M,D,D
AP08_a3,M,D,M,D,D
AP08_a5,M,D,M,D,D
AP08_a6,M,D,M,D,D
AP08_a7,M,D,M,D,D
AP08_a8,M,D,M,D,D
