cohort,skill_id,skill_name,has_data_assets,data_file_count,data_total_bytes,json_like_count,tabular_count,database_count,binary_data_count,support_data_count,largest_data_file_relpath,largest_data_file_bytes,data_file_exts,data_file_paths_sample,excluded_config_like_count
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,backend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,clickhouse-io,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,coding-standards,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,django-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,django-security,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,django-tdd,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,django-verification,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,eval-harness,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,frontend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,golang-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,golang-testing,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,iterative-retrieval,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,java-coding-standards,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,jpa-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,postgres-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,python-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,python-testing,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,security-review,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-patterns-skill-md,springboot-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-security-skill-md,springboot-security,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-tdd-skill-md,springboot-tdd,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-verification-skill-md,springboot-verification,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md,strategic-compact,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-tdd-workflow-skill-md,tdd-workflow,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-backend-patterns-skill-md,backend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-clickhouse-io-skill-md,clickhouse-io,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-coding-standards-skill-md,coding-standards,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-eval-harness-skill-md,eval-harness,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-frontend-patterns-skill-md,frontend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-patterns-skill-md,golang-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-testing-skill-md,golang-testing,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-iterative-retrieval-skill-md,iterative-retrieval,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-postgres-patterns-skill-md,postgres-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-security-review-skill-md,security-review,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-strategic-compact-skill-md,strategic-compact,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-tdd-workflow-skill-md,tdd-workflow,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-backend-patterns-skill-md,backend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-clickhouse-io-skill-md,clickhouse-io,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-coding-standards-skill-md,coding-standards,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-configure-ecc-skill-md,configure-ecc,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,1,1,391,1,0,0,0,0,config.json,391,.json:1,config.json,0
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,1,1,1111,1,0,0,0,0,config.json,1111,.json:1,config.json,0
popular,affaan-m-everything-claude-code-skills-django-patterns-skill-md,django-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-django-security-skill-md,django-security,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-django-tdd-skill-md,django-tdd,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-django-verification-skill-md,django-verification,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-eval-harness-skill-md,eval-harness,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-frontend-patterns-skill-md,frontend-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-golang-patterns-skill-md,golang-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,affaan-m-everything-claude-code-skills-golang-testing-skill-md,golang-testing,0,0,0,0,0,0,0,0,,0,,,0
