cohort,skill_id,skill_name,has_skill_md,embedded_example_mentions,embedded_code_fence_count,example_dir_count,example_dir_paths,example_file_count,example_total_bytes,example_file_exts
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,backend-patterns,1,0,16,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,clickhouse-io,1,0,16,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,coding-standards,1,1,26,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,1,0,2,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,1,0,8,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,django-patterns,1,0,18,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,django-security,1,6,21,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,django-tdd,1,13,14,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,django-verification,1,1,14,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,eval-harness,1,0,13,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,frontend-patterns,1,0,15,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,golang-patterns,1,0,26,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,golang-testing,1,1,20,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,iterative-retrieval,1,0,8,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,java-coding-standards,1,1,8,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,jpa-patterns,1,0,10,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,postgres-patterns,1,0,9,0,,0,0,
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,python-patterns,1,1,34,0,,0,0,
