cohort,skill_id,skill_dirname,skill_name,author,stars,updated_at,github_url,skill_url,file_count,dir_count,max_depth,total_bytes,local_content_path,has_skill_md,skill_md_relpath,skill_md_lines,skill_md_words,heading_count,code_fence_count,ordered_list_count,bullet_list_count,step_signal_count,example_signal_count,boundary_signal_count,placeholder_count,version_mention_count,license_mention_count,has_scripts,has_templates,has_docs,has_config,has_license_file,taxonomy_labels,security_positive_score,security_risk_score,has_security_risk_signal
random,0bserver07-bourbaki-src-skills-sequence-limit-skill-md,0bserver07-bourbaki-src-skills-sequence-limit-skill-md,sequence-limit,0bserver07,0,1770658682,https://github.com/0bserver07/bourbaki/tree/master/src/skills/sequence-limit,https://skillsmp.com/skills/0bserver07-bourbaki-src-skills-sequence-limit-skill-md,1,0,1,7335,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/0bserver07-bourbaki-src-skills-sequence-limit-skill-md/content,True,SKILL.md,257,1171,20,6,17,19,11,5,16,1,0,0,False,False,False,False,False,research_analysis,0,0,False
random,1mangesh1-hipaa-guardian-skills-hipaa-guardian-skill-md,1mangesh1-hipaa-guardian-skills-hipaa-guardian-skill-md,hipaa-guardian,1Mangesh1,4,1770615923,https://github.com/1Mangesh1/hipaa-guardian/tree/main/skills/hipaa-guardian,https://skillsmp.com/skills/1mangesh1-hipaa-guardian-skills-hipaa-guardian-skill-md,27,3,2,321213,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/1mangesh1-hipaa-guardian-skills-hipaa-guardian-skill-md/content,True,SKILL.md,355,1490,48,14,33,108,13,11,2,0,14,4,True,False,True,True,False,coding_dev;security;documentation_writing;workflow_automation;integration_tools,10,0,False
random,333-333-333-agents-skills-flutter-scaffold-skill-md,333-333-333-agents-skills-flutter-scaffold-skill-md,flutter-scaffold,333-333-333,0,1770661006,https://github.com/333-333-333/agents/tree/main/skills/flutter-scaffold,https://skillsmp.com/skills/333-333-333-agents-skills-flutter-scaffold-skill-md,5,1,2,10298,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/333-333-333-agents-skills-flutter-scaffold-skill-md/content,True,SKILL.md,124,539,10,6,9,8,1,1,1,28,1,0,False,True,False,False,False,coding_dev;data_ml_ai,0,0,False
random,333-333-333-agents-skills-go-resilience-skill-md,333-333-333-agents-skills-go-resilience-skill-md,go-resilience,333-333-333,0,1770660776,https://github.com/333-333-333/agents/tree/main/skills/go-resilience,https://skillsmp.com/skills/333-333-333-agents-skills-go-resilience-skill-md,5,1,2,14569,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/333-333-333-agents-skills-go-resilience-skill-md/content,True,SKILL.md,144,603,11,8,3,10,0,1,4,0,1,0,True,False,False,False,False,coding_dev,2,0,False
random,90le-openclaw-skills-hub-skills-automation-workflow-skill-md,90le-openclaw-skills-hub-skills-automation-workflow-skill-md,workflow,90le,0,1770373058,https://github.com/90le/openclaw-skills-hub/tree/main/skills/automation/workflow,https://skillsmp.com/skills/90le-openclaw-skills-hub-skills-automation-workflow-skill-md,2,0,1,11943,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/90le-openclaw-skills-hub-skills-automation-workflow-skill-md/content,True,SKILL.md,119,202,17,18,0,5,3,0,0,0,0,0,True,False,False,False,False,documentation_writing;workflow_automation;integration_tools,0,0,False
random,92bilal26-taskpilotai-claude-skills-ai-collaborate-teaching-skill-md,92bilal26-taskpilotai-claude-skills-ai-collaborate-teaching-skill-md,ai-collaborate-teaching,92Bilal26,0,1766852286,https://github.com/92Bilal26/TaskPilotAI/tree/main/.claude/skills/ai-collaborate-teaching,https://skillsmp.com/skills/92bilal26-taskpilotai-claude-skills-ai-collaborate-teaching-skill-md,9,3,2,137365,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/92bilal26-taskpilotai-claude-skills-ai-collaborate-teaching-skill-md/content,True,SKILL.md,258,910,29,12,16,49,3,2,4,0,2,0,True,True,True,True,False,coding_dev;documentation_writing;research_analysis;integration_tools,6,0,False
random,a4b-corporation-xtalent-docs-00-global-note-ontology-builder-pipeline-skills-phase-2-analyze-skill-md,a4b-corporation-xtalent-docs-00-global-note-ontology-builder-pipeline-skills-phase-2-analyze-skill-md,ontology-phase-2-analyze,a4b-corporation,0,1766380118,https://github.com/a4b-corporation/xTalent/tree/main/docs/00-global/note/ontology-builder-pipeline/skills/phase-2-analyze,https://skillsmp.com/skills/a4b-corporation-xtalent-docs-00-global-note-ontology-builder-pipeline-skills-phase-2-analyze-skill-md,1,0,1,14509,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/a4b-corporation-xtalent-docs-00-global-note-ontology-builder-pipeline-skills-phase-2-analyze-skill-md/content,True,SKILL.md,555,1696,51,36,33,96,15,6,3,0,7,0,False,False,False,False,False,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation,2,0,False
random,a5c-ai-babysitter-breakpoints-codex-skills-babysitter-breakpoint-skill-md,a5c-ai-babysitter-breakpoints-codex-skills-babysitter-breakpoint-skill-md,babysitter-breakpoint,a5c-ai,0,1768654988,https://github.com/a5c-ai/babysitter-breakpoints/tree/main/.codex/skills/babysitter-breakpoint,https://skillsmp.com/skills/a5c-ai-babysitter-breakpoints-codex-skills-babysitter-breakpoint-skill-md,2,1,2,2795,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/a5c-ai-babysitter-breakpoints-codex-skills-babysitter-breakpoint-skill-md/content,True,SKILL.md,35,162,3,2,3,0,1,1,0,0,0,0,False,False,True,False,False,coding_dev;workflow_automation,4,0,False
random,a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-algorithms-optimization-skills-interview-problem-bank-skill-md,a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-algorithms-optimization-skills-interview-problem-bank-skill-md,interview-problem-bank,a5c-ai,81,1769262019,https://github.com/a5c-ai/babysitter/tree/main/plugins/babysitter/skills/babysit/process/specializations/algorithms-optimization/skills/interview-problem-bank,https://skillsmp.com/skills/a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-algorithms-optimization-skills-interview-problem-bank-skill-md,2,0,1,18177,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-algorithms-optimization-skills-interview-problem-bank-skill-md/content,True,SKILL.md,328,1212,41,14,10,52,2,0,0,0,1,0,False,False,False,False,False,coding_dev;documentation_writing;research_analysis,0,0,False
random,a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-data-science-ml-skills-seldon-model-deployer-skill-md,a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-data-science-ml-skills-seldon-model-deployer-skill-md,seldon-model-deployer,a5c-ai,81,1769263287,https://github.com/a5c-ai/babysitter/tree/main/plugins/babysitter/skills/babysit/process/specializations/data-science-ml/skills/seldon-model-deployer,https://skillsmp.com/skills/a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-data-science-ml-skills-seldon-model-deployer-skill-md,2,0,1,4405,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/a5c-ai-babysitter-plugins-babysitter-skills-babysit-process-specializations-data-science-ml-skills-seldon-model-deployer-skill-md/content,True,SKILL.md,155,277,8,6,0,20,0,1,0,0,0,0,False,False,False,False,False,coding_dev;devops_infra;data_ml_ai;integration_tools,0,0,False
