cohort,skill_id,skill_dirname,skill_name,author,stars,updated_at,github_url,skill_url,file_count,dir_count,max_depth,total_bytes,local_content_path,has_skill_md,skill_md_relpath,skill_md_lines,skill_md_words,heading_count,code_fence_count,ordered_list_count,bullet_list_count,step_signal_count,example_signal_count,boundary_signal_count,placeholder_count,version_mention_count,license_mention_count,has_scripts,has_templates,has_docs,has_config,has_license_file,taxonomy_labels,security_positive_score,security_risk_score,has_security_risk_signal
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,backend-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/backend-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,1,0,1,13282,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md/content,True,SKILL.md,587,1391,25,32,0,0,2,0,10,4,0,0,False,False,False,False,False,coding_dev;devops_infra;data_ml_ai,1,5,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,clickhouse-io,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/clickhouse-io,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,1,0,1,9688,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md/content,True,SKILL.md,435,971,31,32,0,22,6,0,3,6,3,0,False,False,False,False,False,coding_dev;devops_infra;research_analysis;workflow_automation,0,2,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,coding-standards,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/coding-standards,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,1,0,1,11228,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md/content,True,SKILL.md,527,1104,40,52,0,26,1,1,8,13,0,0,False,False,False,False,False,coding_dev;product_design,3,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/continuous-learning,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,1,0,1,3268,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md/content,True,SKILL.md,111,210,10,4,8,5,0,0,0,0,2,0,False,False,False,False,False,coding_dev;research_analysis,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/continuous-learning-v2,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,2,1,2,12893,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md/content,True,SKILL.md,290,576,20,16,0,27,1,0,0,2,17,0,False,False,False,False,False,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,django-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/django-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,1,0,1,20816,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md/content,True,SKILL.md,733,1938,52,36,0,5,0,0,1,6,2,0,False,False,False,False,False,coding_dev;data_ml_ai;security,3,5,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,django-security,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/django-security,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,1,0,1,15562,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md/content,True,SKILL.md,592,1496,82,42,0,5,2,6,5,6,0,0,False,False,False,False,False,coding_dev;data_ml_ai;security;product_design,6,18,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,django-tdd,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/django-tdd,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,1,0,1,20834,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md/content,True,SKILL.md,728,1978,59,28,0,19,9,13,0,2,11,0,False,False,False,False,False,coding_dev;data_ml_ai;documentation_writing;integration_tools,0,10,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,django-verification,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/django-verification,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,1,0,1,11001,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md/content,True,SKILL.md,466,1233,67,28,3,48,3,1,1,2,2,0,False,False,False,False,False,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;research_analysis;product_design;integration_tools,5,7,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,eval-harness,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/eval-harness,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,1,0,1,5143,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md/content,True,SKILL.md,260,437,39,26,17,26,0,0,0,0,0,0,False,False,False,False,False,coding_dev;data_ml_ai;documentation_writing,0,0,False
