cohort,review_bucket,skill_id,skill_name,skill_md_path,rater_a_has_trigger_condition,rater_b_has_trigger_condition,resolved_has_trigger_condition,rater_a_has_constraints,rater_b_has_constraints,resolved_has_constraints,rater_a_has_error_fallback,rater_b_has_error_fallback,resolved_has_error_fallback,rater_a_has_io_spec,rater_b_has_io_spec,resolved_has_io_spec,rater_a_spec_form,rater_b_spec_form,resolved_spec_form,rater_a_has_stepwise_procedure,rater_b_has_stepwise_procedure,resolved_has_stepwise_procedure,rater_a_example_quality,rater_b_example_quality,resolved_example_quality,resolved_structuredness_score,adjudication_notes
popular,security_high,wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,secrets-management,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md/content/SKILL.md,1,1,1,1,1,1,0,0,0,1,1,1,mixed,mixed,mixed,0,1,0,2,2,2,70,"Sectioned cookbook/reference with setup examples, but no single ordered end-to-end procedure."
popular,security_high,wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,auth-implementation-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,code_pseudocode,mixed,mixed,0,0,0,2,2,2,85,Heavy code examples plus strong section/template structure; mixed is more accurate than code-only.
popular,structure_heavy,anthropics-skills-skills-canvas-design-skill-md,canvas-design,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-canvas-design-skill-md/content/SKILL.md,1,1,1,1,1,1,0,0,0,1,1,1,structured_template,natural_language,structured_template,1,1,1,2,2,2,85,The document is prose-rich but the operative structure is heading/list/checklist driven.
popular,structure_heavy,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md,deepspeed,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,mixed,mixed,mixed,0,0,0,2,2,2,85,
popular,instruction_long,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md,pytorch-fsdp,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,mixed,mixed,mixed,0,0,0,2,2,2,85,
popular,instruction_long,leonardomso-33-js-concepts-claude-skills-write-concept-skill-md,write-concept,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/leonardomso-33-js-concepts-claude-skills-write-concept-skill-md/content/SKILL.md,1,1,1,1,1,1,0,0,0,1,1,1,structured_template,structured_template,structured_template,1,1,1,2,2,2,85,
random,security_high,iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,encrypt-secret,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,mixed,mixed,mixed,1,1,1,2,2,2,100,
random,security_high,supercorks-agent-skills-slack-reader-skill-md,slack-reader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/supercorks-agent-skills-slack-reader-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,structured_template,structured_template,structured_template,1,1,1,2,2,2,100,
random,structure_heavy,henriquemoreira-f-droid-factory-template-skills-browser-skill-md,browser,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/henriquemoreira-f-droid-factory-template-skills-browser-skill-md/content/SKILL.md,1,1,1,1,1,1,0,0,0,1,1,1,code_pseudocode,code_pseudocode,code_pseudocode,0,1,0,1,1,1,63,"Tool reference with usage sections; Start Chrome first is a note, not a substantive multi-step workflow."
random,structure_heavy,benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md,docx,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md/content/SKILL.md,1,1,1,1,1,1,0,0,0,1,1,1,structured_template,structured_template,structured_template,1,1,1,2,2,2,85,
random,instruction_long,catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md,analyze-with-file,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,mixed,mixed,mixed,1,1,1,2,2,2,100,
random,instruction_long,wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md,hardhat-deploy-migration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md/content/SKILL.md,1,1,1,1,1,1,1,1,1,1,1,1,mixed,mixed,mixed,1,1,1,2,2,2,100,
