cohort,skill_id,skill_dirname,skill_name,author,stars,updated_at,github_url,skill_url,file_count,dir_count,max_depth,total_bytes,local_content_path,has_skill_md,skill_md_relpath,skill_md_lines,skill_md_words,heading_count,code_fence_count,ordered_list_count,bullet_list_count,step_signal_count,example_signal_count,boundary_signal_count,placeholder_count,version_mention_count,license_mention_count,has_scripts,has_templates,has_docs,has_config,has_license_file,taxonomy_labels,security_positive_score,security_risk_score,has_security_risk_signal
popular,wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,secrets-management,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/cicd-automation/skills/secrets-management,https://skillsmp.com/skills/wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,1,0,1,7628,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md/content,True,SKILL.md,351,843,46,26,15,46,3,3,1,12,1,0,False,False,False,False,False,coding_dev;devops_infra;security;documentation_writing;workflow_automation;integration_tools,1,132,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md,huggingface-tokenizers,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/tokenization-huggingface-tokenizers,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md,5,1,2,75550,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md/content,True,SKILL.md,516,1556,74,34,12,57,2,0,0,7,3,1,False,True,True,False,False,coding_dev;data_ml_ai;research_analysis;integration_tools,0,100,True
popular,wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,auth-implementation-patterns,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/auth-implementation-patterns,https://skillsmp.com/skills/wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,1,0,1,16516,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md/content,True,SKILL.md,647,1843,22,18,10,37,11,1,4,2,0,0,False,False,False,False,False,coding_dev;security;workflow_automation;integration_tools,2,73,True
popular,patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md,patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md,hugging-face-jobs,patchy631,28245,1769769658,https://github.com/patchy631/ai-engineering-hub/tree/main/hugging-face-skills/skills/hugging-face-jobs,https://skillsmp.com/skills/patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md,9,2,2,143902,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md/content,True,SKILL.md,1036,3926,116,100,43,125,1,5,14,16,22,2,True,False,True,False,False,coding_dev;devops_infra;data_ml_ai;security;workflow_automation;integration_tools,3,60,True
popular,wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md,wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md,defi-protocol-templates,wshobson,28328,1760661207,https://github.com/wshobson/agents/tree/main/plugins/blockchain-web3/skills/defi-protocol-templates,https://skillsmp.com/skills/wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md,1,0,1,14295,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md/content,True,SKILL.md,454,1389,9,8,7,20,2,1,0,0,6,4,False,True,False,False,False,coding_dev;security,1,55,True
popular,wshobson-agents-plugins-blockchain-web3-skills-web3-testing-skill-md,wshobson-agents-plugins-blockchain-web3-skills-web3-testing-skill-md,web3-testing,wshobson,28328,1768516701,https://github.com/wshobson/agents/tree/main/plugins/blockchain-web3/skills/web3-testing,https://skillsmp.com/skills/wshobson-agents-plugins-blockchain-web3-skills-web3-testing-skill-md,1,0,1,10723,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-blockchain-web3-skills-web3-testing-skill-md/content,True,SKILL.md,415,1096,22,22,10,23,1,1,3,0,2,1,False,False,False,False,False,coding_dev;devops_infra;documentation_writing;workflow_automation;integration_tools,0,50,True
random,iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,encrypt-secret,iamruinous,6,1770169078,https://github.com/iamruinous/nix-config/tree/main/.opencode/skills/encrypt-secret,https://skillsmp.com/skills/iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,1,0,1,11863,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md/content,True,SKILL.md,442,1278,64,38,4,13,6,2,1,15,1,0,False,False,False,False,False,coding_dev;devops_infra;security;workflow_automation;integration_tools,0,50,True
popular,wshobson-agents-plugins-blockchain-web3-skills-nft-standards-skill-md,wshobson-agents-plugins-blockchain-web3-skills-nft-standards-skill-md,nft-standards,wshobson,28328,1768516701,https://github.com/wshobson/agents/tree/main/plugins/blockchain-web3/skills/nft-standards,https://skillsmp.com/skills/wshobson-agents-plugins-blockchain-web3-skills-nft-standards-skill-md,1,0,1,11092,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-blockchain-web3-skills-nft-standards-skill-md/content,True,SKILL.md,383,1080,14,16,7,18,0,0,0,1,4,2,False,False,False,False,False,coding_dev;integration_tools,0,41,True
popular,wshobson-agents-plugins-payment-processing-skills-pci-compliance-skill-md,wshobson-agents-plugins-payment-processing-skills-pci-compliance-skill-md,pci-compliance,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/payment-processing/skills/pci-compliance,https://skillsmp.com/skills/wshobson-agents-plugins-payment-processing-skills-pci-compliance-skill-md,1,0,1,13499,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-payment-processing-skills-pci-compliance-skill-md/content,True,SKILL.md,480,1464,64,18,25,24,0,1,10,1,2,0,False,False,False,False,False,coding_dev;security;integration_tools,21,40,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-speculative-decoding-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-speculative-decoding-skill-md,speculative-decoding,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/emerging-techniques-speculative-decoding,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-speculative-decoding-skill-md,3,1,2,32813,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-speculative-decoding-skill-md/content,True,SKILL.md,467,1692,80,34,6,31,10,2,0,2,36,1,False,True,True,False,False,coding_dev;devops_infra;data_ml_ai;research_analysis;integration_tools,0,33,True
