cohort,skill_id,skill_name,skill_md_path,trigger_hits,constraint_hits,error_hits,io_hits,sequence_hits,example_hits,heading_count,ordered_list_count,bullet_list_count,code_fence_count,placeholder_count,spec_form_auto,trigger_score,constraint_score,step_score,error_score,io_score,example_score,structuredness_score
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,backend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md/content/SKILL.md,0,10,1,36,2,0,25,0,0,16,4,mixed,0,20,8,8,15,15,66
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,clickhouse-io,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md/content/SKILL.md,0,3,0,0,6,0,31,0,22,16,6,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,coding-standards,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md/content/SKILL.md,0,8,2,22,1,1,40,0,26,26,13,mixed,0,20,8,15,15,15,73
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md/content/SKILL.md,0,0,0,0,0,0,10,8,5,2,0,structured_template,0,0,15,0,0,15,30
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md/content/SKILL.md,0,0,0,0,2,0,20,0,27,8,2,mixed,0,0,8,0,15,15,38
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,django-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md/content/SKILL.md,0,1,0,37,0,0,52,0,5,18,6,mixed,0,10,0,0,15,15,40
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,django-security,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md/content/SKILL.md,1,5,0,29,2,6,82,0,5,21,6,mixed,10,20,8,0,15,15,68
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,django-tdd,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md/content/SKILL.md,0,0,0,13,9,13,59,0,19,14,2,mixed,0,0,15,0,15,15,45
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,django-verification,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md/content/SKILL.md,0,1,0,9,1,1,67,3,48,14,2,mixed,0,10,15,0,15,15,55
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,eval-harness,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md/content/SKILL.md,0,0,0,0,0,0,39,17,26,13,0,mixed,0,0,15,0,0,15,30
