cohort,skill_id,skill_name,author,taxonomy_labels
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-backend-patterns-skill-md,backend-patterns,affaan-m,coding_dev;devops_infra;data_ml_ai
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-clickhouse-io-skill-md,clickhouse-io,affaan-m,coding_dev;devops_infra;research_analysis;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-coding-standards-skill-md,coding-standards,affaan-m,coding_dev;product_design
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,affaan-m,coding_dev;research_analysis
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-patterns-skill-md,django-patterns,affaan-m,coding_dev;data_ml_ai;security
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-security-skill-md,django-security,affaan-m,coding_dev;data_ml_ai;security;product_design
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-tdd-skill-md,django-tdd,affaan-m,coding_dev;data_ml_ai;documentation_writing;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-django-verification-skill-md,django-verification,affaan-m,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;research_analysis;product_design;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-eval-harness-skill-md,eval-harness,affaan-m,coding_dev;data_ml_ai;documentation_writing
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,frontend-patterns,affaan-m,coding_dev
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,golang-patterns,affaan-m,coding_dev;documentation_writing;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,golang-testing,affaan-m,coding_dev;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,iterative-retrieval,affaan-m,coding_dev;security;research_analysis;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,java-coding-standards,affaan-m,coding_dev
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,jpa-patterns,affaan-m,coding_dev
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,postgres-patterns,affaan-m,coding_dev;security;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,python-patterns,affaan-m,coding_dev;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,python-testing,affaan-m,coding_dev;documentation_writing
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,security-review,affaan-m,coding_dev;security;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-patterns-skill-md,springboot-patterns,affaan-m,coding_dev;documentation_writing
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-security-skill-md,springboot-security,affaan-m,coding_dev;security
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-tdd-skill-md,springboot-tdd,affaan-m,coding_dev;documentation_writing;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-verification-skill-md,springboot-verification,affaan-m,coding_dev;security;documentation_writing;research_analysis;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md,strategic-compact,affaan-m,domain_specific
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-tdd-workflow-skill-md,tdd-workflow,affaan-m,coding_dev;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-backend-patterns-skill-md,backend-patterns,affaan-m,coding_dev;data_ml_ai;product_design
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-clickhouse-io-skill-md,clickhouse-io,affaan-m,coding_dev;devops_infra;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-coding-standards-skill-md,coding-standards,affaan-m,coding_dev;product_design
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,affaan-m,coding_dev;research_analysis;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-eval-harness-skill-md,eval-harness,affaan-m,coding_dev;data_ml_ai;documentation_writing
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-frontend-patterns-skill-md,frontend-patterns,affaan-m,coding_dev;product_design
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-patterns-skill-md,golang-patterns,affaan-m,workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-testing-skill-md,golang-testing,affaan-m,coding_dev;workflow_automation
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-iterative-retrieval-skill-md,iterative-retrieval,affaan-m,coding_dev;security;research_analysis;workflow_automation
